epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.68,1.46254,3.25887,1.0061,0.93367,0.0962,0.28116,0.17916,1.31486,3.11154,0.96934,0.0002346,0.0002346,0.0002346
2,326.262,1.38687,1.88562,0.99157,0.49778,0.41186,0.40989,0.25811,1.21506,2.00853,0.96295,0.000467921,0.000467921,0.000467921
3,473.792,1.32145,1.65661,1.01309,0.54317,0.5129,0.58166,0.36262,1.18539,1.70793,0.98652,0.00069653,0.00069653,0.00069653
4,644.112,1.27265,1.46928,0.99117,0.59657,0.62684,0.62064,0.37965,1.16949,1.4942,0.97562,0.000692794,0.000692794,0.000692794
5,950.197,1.29197,1.41305,0.99575,0.68311,0.63315,0.66799,0.4265,1.13809,1.4556,0.95323,0.000685726,0.000685726,0.000685726
6,1262.67,1.22566,1.25675,0.97992,0.70801,0.58543,0.66943,0.43037,1.11032,1.34499,0.95118,0.000678657,0.000678657,0.000678657
7,1572.83,1.21895,1.18716,0.97739,0.78153,0.69499,0.76088,0.49257,1.11822,1.13937,0.95016,0.000671588,0.000671588,0.000671588
8,1733.55,1.20637,1.14241,0.96569,0.73512,0.68187,0.74875,0.47814,1.1143,1.15876,0.94407,0.00066452,0.00066452,0.00066452
9,1878.49,1.17798,1.05562,0.95805,0.7182,0.74354,0.76502,0.50957,1.11156,1.05963,0.94903,0.000657451,0.000657451,0.000657451
10,2025.27,1.1813,1.05888,0.95788,0.75655,0.74064,0.7655,0.48612,1.13201,1.08747,0.96204,0.000650383,0.000650383,0.000650383
11,2180.85,1.1591,0.99358,0.95856,0.79733,0.67082,0.74787,0.49549,1.09459,1.06566,0.94068,0.000643314,0.000643314,0.000643314
12,2325.04,1.13376,0.94599,0.95628,0.85037,0.73743,0.81061,0.54326,1.06542,0.91909,0.93197,0.000636245,0.000636245,0.000636245
13,2488.14,1.12138,0.95604,0.93958,0.77759,0.7266,0.74,0.48443,1.05831,0.95596,0.92731,0.000629177,0.000629177,0.000629177
14,2790.66,1.11452,0.90338,0.93738,0.77682,0.75915,0.79337,0.54243,1.02293,0.91693,0.92301,0.000622108,0.000622108,0.000622108
15,3098.77,1.09297,0.8705,0.94188,0.87845,0.77685,0.83744,0.56754,1.01248,0.82755,0.91491,0.00061504,0.00061504,0.00061504
16,3366.97,1.1132,0.8711,0.94592,0.88732,0.80629,0.8548,0.57389,1.05057,0.81869,0.91783,0.000607971,0.000607971,0.000607971
17,3522.24,1.12629,0.86613,0.9311,0.86896,0.81651,0.84908,0.57572,1.01703,0.79444,0.9197,0.000600902,0.000600902,0.000600902
18,3673.1,1.06634,0.80769,0.93493,0.88748,0.76114,0.82743,0.56575,1.02761,0.77557,0.90748,0.000593834,0.000593834,0.000593834
19,3831.64,1.07671,0.82239,0.92585,0.88063,0.73188,0.82527,0.55756,1.02397,0.80023,0.90389,0.000586765,0.000586765,0.000586765
20,3978.88,1.0503,0.77838,0.90646,0.84869,0.77544,0.83902,0.57728,1.01441,0.75583,0.90481,0.000579697,0.000579697,0.000579697
21,4123.63,1.08833,0.79136,0.93347,0.79006,0.75586,0.82875,0.57376,0.98121,0.78063,0.90051,0.000572628,0.000572628,0.000572628
22,4295.21,1.02947,0.75744,0.91631,0.88573,0.80156,0.86421,0.59057,1.00032,0.72036,0.90734,0.000565559,0.000565559,0.000565559
23,4435.1,1.04971,0.74655,0.92224,0.89366,0.81874,0.87769,0.59571,0.99031,0.70885,0.89331,0.000558491,0.000558491,0.000558491
24,4577.53,1.05615,0.73988,0.9196,0.89506,0.80706,0.87225,0.60946,0.97542,0.69531,0.89751,0.000551422,0.000551422,0.000551422
25,4849.57,1.02992,0.74409,0.9184,0.86472,0.84154,0.88364,0.60052,0.99209,0.71691,0.89379,0.000544354,0.000544354,0.000544354
26,5139.43,1.02002,0.72533,0.92099,0.84253,0.81067,0.86061,0.59503,0.999,0.70354,0.90233,0.000537285,0.000537285,0.000537285
27,5398.95,1.02454,0.72867,0.92303,0.92337,0.81092,0.87565,0.6081,0.97539,0.70107,0.90545,0.000530216,0.000530216,0.000530216
28,5625.14,1.04352,0.72057,0.91881,0.86019,0.77407,0.84665,0.58857,0.96927,0.69701,0.8983,0.000523148,0.000523148,0.000523148
29,5778.72,0.99565,0.69506,0.90647,0.89837,0.78326,0.87438,0.60921,0.96285,0.66029,0.90019,0.000516079,0.000516079,0.000516079
